Episdoe: 376,  Total Steps: 56400,  Num Updates: 22078
Episdoe: 377,  Total Steps: 56550,  Num Updates: 22142
Episdoe: 378,  Total Steps: 56700,  Num Updates: 22207
Episdoe: 379,  Total Steps: 56850,  Num Updates: 22271
Episdoe: 380,  Total Steps: 57000,  Num Updates: 22336
Episdoe: 381,  Total Steps: 57150,  Num Updates: 22400
Episdoe: 382,  Total Steps: 57300,  Num Updates: 22464
Episdoe: 383,  Total Steps: 57450,  Num Updates: 22528
Episdoe: 384,  Total Steps: 57600,  Num Updates: 22591
Episdoe: 385,  Total Steps: 57750,  Num Updates: 22655
Episdoe: 386,  Total Steps: 57900,  Num Updates: 22719
Episdoe: 387,  Total Steps: 58050,  Num Updates: 22783
Episdoe: 388,  Total Steps: 58200,  Num Updates: 22846
Episdoe: 389,  Total Steps: 58350,  Num Updates: 22911
Episdoe: 390,  Total Steps: 58500,  Num Updates: 22976
Episdoe: 391,  Total Steps: 58650,  Num Updates: 23041
Episdoe: 392,  Total Steps: 58800,  Num Updates: 23105
Episdoe: 393,  Total Steps: 58950,  Num Updates: 23169
Episdoe: 394,  Total Steps: 59100,  Num Updates: 23232
Episdoe: 395,  Total Steps: 59250,  Num Updates: 23296
Episdoe: 396,  Total Steps: 59400,  Num Updates: 23361
Episdoe: 397,  Total Steps: 59550,  Num Updates: 23424
Episdoe: 398,  Total Steps: 59700,  Num Updates: 23489
Episdoe: 399,  Total Steps: 59850,  Num Updates: 23552
Episdoe: 400,  Total Steps: 60000,  Num Updates: 23616
Episdoe: 401,  Total Steps: 60150,  Num Updates: 23681
Episdoe: 402,  Total Steps: 60300,  Num Updates: 23745
Episdoe: 403,  Total Steps: 60450,  Num Updates: 23810
Episdoe: 404,  Total Steps: 60600,  Num Updates: 23875
Episdoe: 405,  Total Steps: 60750,  Num Updates: 23939
Episdoe: 406,  Total Steps: 60900,  Num Updates: 24005
Episdoe: 407,  Total Steps: 61050,  Num Updates: 24068
Episdoe: 408,  Total Steps: 61200,  Num Updates: 24133
Episdoe: 409,  Total Steps: 61350,  Num Updates: 24197
Episdoe: 410,  Total Steps: 61500,  Num Updates: 24261
Episdoe: 411,  Total Steps: 61650,  Num Updates: 24326
Episdoe: 412,  Total Steps: 61800,  Num Updates: 24390
Episdoe: 413,  Total Steps: 61950,  Num Updates: 24454
Episdoe: 414,  Total Steps: 62100,  Num Updates: 24518
Episdoe: 415,  Total Steps: 62250,  Num Updates: 24582
Episdoe: 416,  Total Steps: 62400,  Num Updates: 24646
Episdoe: 417,  Total Steps: 62550,  Num Updates: 24710
Episdoe: 418,  Total Steps: 62700,  Num Updates: 24775
Episdoe: 419,  Total Steps: 62850,  Num Updates: 24838
Episdoe: 420,  Total Steps: 63000,  Num Updates: 24893
Episdoe: 421,  Total Steps: 63150,  Num Updates: 24958
Episdoe: 422,  Total Steps: 63300,  Num Updates: 25023
Episdoe: 423,  Total Steps: 63450,  Num Updates: 25087
Episdoe: 424,  Total Steps: 63600,  Num Updates: 25151
Episdoe: 425,  Total Steps: 63750,  Num Updates: 25215
Episdoe: 426,  Total Steps: 63900,  Num Updates: 25278
Episdoe: 427,  Total Steps: 64050,  Num Updates: 25343
Episdoe: 428,  Total Steps: 64200,  Num Updates: 25417
Episdoe: 429,  Total Steps: 64350,  Num Updates: 25482
Episdoe: 430,  Total Steps: 64500,  Num Updates: 25548
Episdoe: 431,  Total Steps: 64650,  Num Updates: 25611
Episdoe: 432,  Total Steps: 64800,  Num Updates: 25675
Episdoe: 433,  Total Steps: 64950,  Num Updates: 25740
Episdoe: 434,  Total Steps: 65100,  Num Updates: 25804
Episdoe: 435,  Total Steps: 65250,  Num Updates: 25868
Episdoe: 436,  Total Steps: 65400,  Num Updates: 25933
Episdoe: 437,  Total Steps: 65550,  Num Updates: 25998
Episdoe: 438,  Total Steps: 65700,  Num Updates: 26063
Episdoe: 439,  Total Steps: 65850,  Num Updates: 26127
Episdoe: 440,  Total Steps: 66000,  Num Updates: 26192
Episdoe: 441,  Total Steps: 66150,  Num Updates: 26256
Episdoe: 442,  Total Steps: 66300,  Num Updates: 26320
Episdoe: 443,  Total Steps: 66450,  Num Updates: 26385
Episdoe: 444,  Total Steps: 66600,  Num Updates: 26449
Episdoe: 445,  Total Steps: 66750,  Num Updates: 26514
Episdoe: 446,  Total Steps: 66900,  Num Updates: 26579
Episdoe: 447,  Total Steps: 67050,  Num Updates: 26643
Episdoe: 448,  Total Steps: 67200,  Num Updates: 26708
Episdoe: 449,  Total Steps: 67350,  Num Updates: 26772
Episdoe: 450,  Total Steps: 67500,  Num Updates: 26837
Episdoe: 451,  Total Steps: 67650,  Num Updates: 26902
Episdoe: 452,  Total Steps: 67800,  Num Updates: 26965
Episdoe: 453,  Total Steps: 67950,  Num Updates: 27030
